Sample,Grouping,Order,Bacteria,Yeast,Preservatives,number,random,new number,number of flies,weight,absorbance,TAG,volume homogenate,volume assayed,dilution,TAG_homogenate,TAG_mg
Lb 3,Lb Y1 D,E,Lb,S4707,1,133,0.57133944,76,5,7.2,0.3742,0.475396698,125,3,41.66666667,19.80819576,2.7511383
Lb 4,Lb Y1 D,E,Lb,S4707,1,134,0.717362072,50,5,7.3,0.4322,0.570745383,125,3,41.66666667,23.78105761,3.257679124
Lb 5,Lb Y1 D,E,Lb,S4707,1,135,0.408743886,107,5,7.6,0.4167,0.543516589,125,3,41.66666667,22.64652455,2.979805862
Lb 6,Lb Y1 D,E,Lb,S4707,1,136,0.626643081,64,5,7.2,0.2993,0.355345408,125,3,41.66666667,14.80605866,2.056397037
Lb 7,Lb Y1 D,E,Lb,S4707,1,137,0.286633185,132,5,6.8,0.4203,0.552602953,125,3,41.66666667,23.02512303,3.386047504
Lb 8,Lb Y1 D,E,Lb,S4707,1,138,0.164091382,153,5,7.2,0.3675,0.470551671,125,3,41.66666667,19.60631961,2.723099945
Lb 9,Lb Y1 D,E,Lb,S4707,1,139,0.052945446,167,5,7.3,0.374,0.480652681,125,3,41.66666667,20.02719503,2.743451374
Lb 10,Lb Y1 D,E,Lb,S4707,1,140,0.470411691,95,5,7.1,0.4878,0.65747716,125,3,41.66666667,27.39488166,3.858434036
Ap 1,Ap Y1 D,F,Ap,S4707,1,141,0.212368298,149,5,8.5,0.3782,0.487179487,125,3,41.66666667,20.2991453,2.388134741
Ap 2,Ap Y1 D,F,Ap,S4707,1,142,0.135891305,161,5,8,0.3388,0.425951826,125,3,41.66666667,17.74799275,2.218499093
Ap 3,Ap Y1 D,F,Ap,S4707,1,143,0.062324569,166,5,8,0.3488,0.441491841,125,3,41.66666667,18.3954934,2.299436674
Ap 4,Ap Y1 D,F,Ap,S4707,1,144,0.335056464,117,5,8,0.3163,0.382593364,125,3,41.66666667,15.94139018,1.992673773
Ap 5,Ap Y1 D,F,Ap,S4707,1,145,0.632027401,62,5,8.1,0.2962,0.350376663,125,3,41.66666667,14.59902762,1.802349089
Ap 6,Ap Y1 D,F,Ap,S4707,1,146,0.530231899,84,5,8.2,0.2791,0.322968424,125,3,41.66666667,13.45701768,1.641099718
Ap 7,Ap Y1 D,F,Ap,S4707,1,147,0.951763755,8,5,8.2,0.3191,0.384234828,125,3,41.66666667,16.00978452,1.952412746
Ap 8,Ap Y1 D,F,Ap,S4707,1,148,0.511653832,88,5,8,0.3724,0.47251162,125,3,41.66666667,19.68798419,2.460998023
Ap 9,Ap Y1 D,F,Ap,S4707,1,149,0.836948829,30,5,8.2,0.3254,0.394624011,125,3,41.66666667,16.44266711,2.005203306
Ap 10,Ap Y1 D,F,Ap,S4707,1,150,0.713929801,51,5,8,0.2779,0.316292876,125,3,41.66666667,13.17886983,1.647358729
Ax 1,Ax Y2 D,M,Ax,S03010,1,151,0.739914168,46,5,7.1,0.3805,0.485488127,125,3,41.66666667,20.22867194,2.849108724
Ax 2,Ax Y2 D,M,Ax,S03010,1,152,0.339886422,115,5,7.6,0.3969,0.511780734,125,3,41.66666667,21.32419725,2.805815428
Ax 3,Ax Y2 D,M,Ax,S03010,1,153,0.521104284,86,5,7.4,0.4142,0.539509537,125,3,41.66666667,22.47956403,3.037778923
Ax 4,Ax Y2 D,M,Ax,S03010,1,154,0.5577715,79,5,7.5,0.3899,0.500560987,125,3,41.66666667,20.85670781,2.780894374
Ax 5,Ax Y2 D,M,Ax,S03010,1,155,0.9511862,10,5,7.4,0.5998,0.847130607,125,3,41.66666667,35.29710862,4.769879543
Ax 6,Ax Y2 D,M,Ax,S03010,1,156,0.176230934,152,5,7.8,0.3698,0.474125874,125,3,41.66666667,19.75524476,2.532723687
Ax 7,Ax Y2 D,M,Ax,S03010,1,157,0.120102666,163,5,7.8,0.4666,0.624553225,125,3,41.66666667,26.02305102,3.336288593
Ax 8,Ax Y2 D,M,Ax,S03010,1,158,0.362963303,111,5,7.1,0.3368,0.415451194,125,3,41.66666667,17.31046642,2.438093862
Ax 9,Ax Y2 D,M,Ax,S03010,1,159,0.602774055,70,5,7.3,0.3962,0.510658759,125,3,41.66666667,21.27744831,2.914718946
Ax 10,Ax Y2 D,M,Ax,S03010,1,160,0.734721837,48,5,7.1,0.3859,0.49439314,125,3,41.66666667,20.59971416,2.901368192
Lb 1,Lb Y2 D,N,Lb,S03010,1,161,0.666244263,57,5,7.5,0.2928,0.340864116,125,3,41.66666667,14.2026715,1.893689534
Lb 2,Lb Y2 D,N,Lb,S03010,1,162,0.879709918,23,5,7.8,0.4205,0.551451187,125,3,41.66666667,22.97713281,2.945786257
Lb 3,Lb Y2 D,N,Lb,S03010,1,163,0.659115766,59,5,7.7,0.3878,0.497526385,125,3,41.66666667,20.73026605,2.692242344
Lb 4,Lb Y2 D,N,Lb,S03010,1,164,0.835836761,31,5,7.9,0.4039,0.524076517,125,3,41.66666667,21.83652155,2.764116652
Lb 5,Lb Y2 D,N,Lb,S03010,1,165,0.977509768,4,5,7.5,0.3691,0.466688654,125,3,41.66666667,19.4453606,2.592714746
Lb 6,Lb Y2 D,N,Lb,S03010,1,166,0.5329257,83,5,7.3,0.3888,0.498797884,125,3,41.66666667,20.78324518,2.847019887
Lb 7,Lb Y2 D,N,Lb,S03010,1,167,0.748745282,43,5,7.3,0.3292,0.400890501,125,3,41.66666667,16.70377089,2.288187793
Lb 8,Lb Y2 D,N,Lb,S03010,1,168,0.249874996,138,5,7.1,0.342,0.430924631,125,3,41.66666667,17.95519296,2.528900416
Lb 9,Lb Y2 D,N,Lb,S03010,1,169,0.951358375,9,5,7.5,0.3647,0.459432718,125,3,41.66666667,19.1430299,2.552403987
Lb 10,Lb Y2 D,N,Lb,S03010,1,170,0.855172262,25,5,6.8,0.305,0.36098285,125,3,41.66666667,15.04095207,2.211904716
Ap 1,Ap Y2 D,O,Ap,S03010,1,171,0.807593415,34,5,8.3,0.3442,0.425626649,125,3,41.66666667,17.73444371,2.136679965
Ap 2,Ap Y2 D,O,Ap,S03010,1,172,0.920255881,17,5,8.4,0.3099,0.369063325,125,3,41.66666667,15.37763852,1.830671253
Ap 3,Ap Y2 D,O,Ap,S03010,1,173,0.598183751,73,5,8.7,0.3936,0.506491425,125,3,41.66666667,21.10380937,2.425725215
Ap 4,Ap Y2 D,O,Ap,S03010,1,174,0.733816052,49,5,8.4,0.3322,0.405837731,125,3,41.66666667,16.90990545,2.013083982
Ap 5,Ap Y2 D,O,Ap,S03010,1,175,0.047855541,170,5,7.2,0.3393,0.426728827,125,3,41.66666667,17.78036778,2.469495525
Ap 6,Ap Y2 D,O,Ap,S03010,1,176,0.328644461,119,5,8.3,0.3304,0.40519314,125,3,41.66666667,16.8830475,2.034102108
Ap 7,Ap Y2 D,O,Ap,S03010,1,177,0.738102621,47,5,8.3,0.3029,0.357519789,125,3,41.66666667,14.89665787,1.794778057
Ap 8,Ap Y2 D,O,Ap,S03010,1,178,0.997713213,1,5,8.3,0.3565,0.44591029,125,3,41.66666667,18.57959543,2.238505473
Ap 9,Ap Y2 D,O,Ap,S03010,1,179,0.284712661,133,5,8,0.3712,0.476301476,125,3,41.66666667,19.84589485,2.480736856
Ap 10,Ap Y2 D,O,Ap,S03010,1,180,0.24434512,143,5,7.7,0.3707,0.475524476,125,3,41.66666667,19.81351981,2.573184391
